Regions,Multiple main languages in household (6 categories) Code,Multiple main languages in household (6 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
North East,-8,Does not apply,-8,Does not apply,0
North East,-8,Does not apply,1,"1. Managers, directors and senior officials",0
North East,-8,Does not apply,2,2. Professional occupations,0
North East,-8,Does not apply,3,3. Associate professional and technical occupations,0
North East,-8,Does not apply,4,4. Administrative and secretarial occupations,0
North East,-8,Does not apply,5,5. Skilled trades occupations,0
North East,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
North East,-8,Does not apply,7,7. Sales and customer service occupations,0
North East,-8,Does not apply,8,"8. Process, plant and machine operatives",0
North East,-8,Does not apply,9,9. Elementary occupations,0
North East,1,One-person household,-8,Does not apply,253161
North East,1,One-person household,1,"1. Managers, directors and senior officials",12449
North East,1,One-person household,2,2. Professional occupations,26265
North East,1,One-person household,3,3. Associate professional and technical occupations,17702
North East,1,One-person household,4,4. Administrative and secretarial occupations,13806
North East,1,One-person household,5,5. Skilled trades occupations,15839
North East,1,One-person household,6,"6. Caring, leisure and other service occupations",14221
North East,1,One-person household,7,7. Sales and customer service occupations,12016
North East,1,One-person household,8,"8. Process, plant and machine operatives",13801
North East,1,One-person household,9,9. Elementary occupations,16662
North East,2,All household members have the same main language,-8,Does not apply,253027
North East,2,All household members have the same main language,1,"1. Managers, directors and senior officials",61646
North East,2,All household members have the same main language,2,2. Professional occupations,91646
North East,2,All household members have the same main language,3,3. Associate professional and technical occupations,60011
North East,2,All household members have the same main language,4,4. Administrative and secretarial occupations,40068
North East,2,All household members have the same main language,5,5. Skilled trades occupations,64316
North East,2,All household members have the same main language,6,"6. Caring, leisure and other service occupations",47465
North East,2,All household members have the same main language,7,7. Sales and customer service occupations,36160
North East,2,All household members have the same main language,8,"8. Process, plant and machine operatives",51342
North East,2,All household members have the same main language,9,9. Elementary occupations,48993
North East,3,"Main language differs between generations, but not within partnerships",-8,Does not apply,2389
North East,3,"Main language differs between generations, but not within partnerships",1,"1. Managers, directors and senior officials",456
North East,3,"Main language differs between generations, but not within partnerships",2,2. Professional occupations,1136
North East,3,"Main language differs between generations, but not within partnerships",3,3. Associate professional and technical occupations,261
North East,3,"Main language differs between generations, but not within partnerships",4,4. Administrative and secretarial occupations,166
